sku,name_ar,name_en,oem,vehicle_models,category_key,cost_rmb,image_file,source_file
GM-22116768852,كرسي مكينة يمين,Engine Mount Rubber R,2211 6768 852,E90,engine-transmission-mounts,60,GM-22116768852-1.jpg,CULU6339343
GM-22116768853,كرسي مكينة شمال,Engine Mount Rubber L,2211 6768 853,E90,engine-transmission-mounts,60,GM-22116768853-1.jpg,CULU6339343
GM-22116785711,كرسي مكينة شمال,Engine Mount Rubber L,2211 6785 711,F26,engine-transmission-mounts,70,GM-22116785711-1.jpg,CULU6339343
GM-22116856183,كرسي مكينة شمال,Engine Mount Rubber L,2211 6856 183,"F35,F25",engine-transmission-mounts,65,GM-22116856183-1.jpg,CULU6339343
GM-22116856184,كرسي مكينة يمين,Engine Mount Rubber R,2211 6856 184,"F35,F25",engine-transmission-mounts,65,GM-22116856184-1.jpg,CULU6339343
GM-22116876791,SUPPORT RUBBER,Support Rubber,2211 6876 791,,misc-accessories,55,GM-22116876791-1.jpg,CULU6339343
GM-11117511395,جوان,Crankshaft Oil Seal,1111 7511 395,,engine-components,12,GM-11117511395-1.jpg,CULU6339343
GM-11317512520,CHAIN GUIDE,Chain Guide,1131 7512 520,N46,engine-components,55,GM-11317512520-1.jpg,CULU6339343
GM-11367560462,OIL SOLENOID VALVE,Oil Solenoid Valve,1136 7560 462,N46,sensors-electrical,40,GM-11367560462-1.jpg,CULU6339343
GM-11517511221,طلمبة مياه,Water Pump,1151 7511 221,"E60,E90,N46",cooling-system,80,GM-11517511221-1.jpg,CULU6339343
GM-11517572859,ثرموستات,Thermostat Cover,1151 7572 859,,cooling-system,30,GM-11517572859-1.jpg,CULU6339343
GM-11517597715,طلمبة مياه كهربائية,Electric Water Pump,1151 7597 715,N20,cooling-system,320,GM-11517597715-1.jpg,CULU6339343
GM-11518631692,طلمبة مياه,Water Pump,1151 8631 692,,cooling-system,70,GM-11518631692-1.jpg,CULU6339343
GM-11537586784,ثرموستات,Thermostat,1153 7586 784,,cooling-system,110,GM-11537586784-1.jpg,CULU6339343
GM-11538635689,ثرموستات,Thermostat,1153 8635 689,"F18,F35,N20",cooling-system,65,GM-11538635689-1.jpg,CULU6339343
GM-13907621174,CHARCOAL CANISTER SOLENOID VALVE,Charcoal Canister Solenoid Valve,1390 7621 174,,sensors-electrical,30,GM-13907621174-1.jpg,CULU6339343
GM-22116785601,كرسي مكينة شمال,Engine Mount Rubber L/R,2211 6785 601,,engine-transmission-mounts,55,GM-22116785601-1.jpg,CULU6339343
GM-31306884181,كرسي مساعد أمامي,Front Shock Absorber Top Rubber - With Bearing,3130 6884 181,,suspension,75,GM-31306884181-1.jpg,CULU6339343
GM-32106792029,ذراع تعشيق شمال,Steering Tie Rod L,3210 6792 029,"F30,F35",steering,50,GM-32106792029-1.jpg,CULU6339343
GM-32111096897,ذراع تعشيق شمال,Steering Tie Rod L,3211 1096 897,"E46,E85",steering,45,GM-32111096897-1.jpg,CULU6339343
GM-32111096898,ذراع تعشيق يمين,Steering Tie Rod R,3211 1096 898,"E46,E85",steering,45,GM-32111096898-1.jpg,CULU6339343
GM-11118511205VD,وصلة ماسورة مياه,Water Pipe Connector - Aluminum With Gasket,1111 8511 205VD,,cooling-system,10,GM-11118511205VD-1.jpg,CULU6339343
GM-11118618864,جوان أمامي لعمود الكرنك,Crankshaft Front Oil Seal,1111 8618 864,,engine-components,10,GM-11118618864-1.jpg,CULU6339343
GM-11127547058,صمام إعادة تدوير العادم EGR,Exhaust Gas Recirculation Valve (Egr Valve),1112 7547 058,N62,fuel-air-intake,13,GM-11127547058-1.jpg,CULU6339343
GM-11127552280,جوان,Sealant,1112 7552 280,,engine-components,20,GM-11127552280-1.jpg,CULU6339343
