sku,name_ar,name_en,oem,vehicle_models,category_key,cost_rmb,image_file,source_file
GM-51417225873251417225848R-022A,طقم مقابض أبواب,F10 Door Handle Set Cabon Pattern,51417225873-2 51417225848 R,F10,interior-trim,33,GM-51417225873251417225848R-022A-1.jpg,PILU8022228
GM-51417275487L51417275488R,F30 DOOR HANDLE COVER GLOSS BLACK,F30 Door Handle Cover Gloss Black,5141 7275 487 L 5141 7275 488 R,F30,interior-trim,70,GM-51417275487L51417275488R-1.jpg,PILU8022228
GM-51169216865,غطاء مسند ذراع,"F10, F11 Armrest Lid Panel Black",5116 9216 865,F10,interior-trim,45,GM-51169216865-1.jpg,PILU8022228
GM-51169216869,غطاء مسند ذراع,"F10, F11 Armrest Lid Panel Red Brown",5116 9216 869,F10,interior-trim,45,GM-51169216869-1.jpg,PILU8022228
GM-6131921733451417230853L51417230854R51419150339L51419150340R,طقم مقابض أبواب,E90 Door Handle Set Beige,61319217334 5141 7230 853 L 5141 7230 854 R 5141 9150 339 L 5141 9150 340 R,E90,interior-trim,80,GM-6131921733451417230853L51417230854R51419150339L51419150340R-1.jpg,PILU8022228
GM-51169235453,غطاء مسند ذراع,F30 Armrest Lid Panel Carbon Pattern,51169235453,F30,interior-trim,40,GM-51169235453-1.jpg,PILU8022228
GM-6131921732651417230849L51417230850R51419150335L51419150336R,طقم مقابض أبواب,E90 Door Handle Set Black,61319217326 5141 7230 849 L 5141 7230 850 R 5141 9150 335 L 5141 9150 336 R,E90,interior-trim,80,GM-6131921732651417230849L51417230850R51419150335L51419150336R-1.jpg,PILU8022228
GM-51167137552,غطاء مسند ذراع,E90 Armrest Lid Panel Carbon Pattern,51167137552,E90,interior-trim,40,GM-51167137552-1.jpg,PILU8022228
GM-51130054493L51130054494R,شبك أمامي,F30 Front Grill Gloss Black,51130054493 L 51130054494 R,F30,exterior-body,55,GM-51130054493L51130054494R-1.jpg,PILU8022228
GM-51169216866,غطاء مسند ذراع,"F10, F11 Armrest Lid Panel Beige",5116 9216 866,F10,interior-trim,45,GM-51169216866-1.jpg,PILU8022228
GM-51167133208,غطاء مسند ذراع,E60 Armrest Lid Panel Carbon Pattern,51167133208,E60,interior-trim,40,GM-51167133208-1.jpg,PILU8022228
GM-51417279311,F30 FREE INNER HANDLE (CARBON FIBER PATTERN),F30 Free Inner Handle (Carbon Fiber Pattern),51417279311,F30,interior-trim,40,GM-51417279311-1.jpg,PILU8022228
GM-51169234131,F30 GEAR LEVER BASE PANEL (BLACK),F30 Gear Lever Base Panel (Black),51169234131,F30,interior-trim,40,GM-51169234131-1.jpg,PILU8022228
GM-51169234131-E3C8,F30 GEAR LEVER BASE PANEL (CARBON FIBER PATTERN),F30 Gear Lever Base Panel (Carbon Fiber Pattern),51169234131,F30,interior-trim,40,GM-51169234131-E3C8-1.jpg,PILU8022228
GM-51169234131-E04A,F30 GEAR LEVER BASE PANEL (GLOSS BLACK),F30 Gear Lever Base Panel (Gloss Black),51169234131,F30,interior-trim,40,GM-51169234131-E04A-1.jpg,PILU8022228
GM-61319217332,E90 WINDOW LIFT SWITCH BUTTON (BLACK),E90 Window Lift Switch Button (Black),61319217332,E90,sensors-electrical,120,GM-61319217332-1.jpg,PILU8022228
GM-61319217334,E90 WINDOW LIFT SWITCH BUTTON (BEIGE),E90 Window Lift Switch Button (Beige),61319217334,E90,sensors-electrical,120,GM-61319217334-1.jpg,PILU8022228
GM-61319259007A11,F30 CHASSIS HANDLEBAR COVER ORDINARY (SILBER PLATING) LHD,F30 Chassis Handlebar Cover Ordinary (Silber Plating) Lhd,61319259007-A1-1,F30,interior-trim,38,GM-61319259007A11-1.jpg,PILU8022228
GM-61319259007A12,F30 CHASSIS HANDLEBAR COVER ORDINARY (CARBON FIBER) LHD,F30 Chassis Handlebar Cover Ordinary (Carbon Fiber) Lhd,61319259007-A1-2,F30,interior-trim,38,GM-61319259007A12-1.jpg,PILU8022228
GM-51130054493L51130054494R-443C,F30 FRONT KIDNEY LUMIOUS GRILLE (WITH LEDS LIGHT),F30 Front Kidney Lumious Grille (With Leds Light),51130054493 L 51130054494 R,F30,exterior-body,350,GM-51130054493L51130054494R-443C-1.jpg,PILU8022228
GM-32302157308,E90 STEERING WHEEL,E90 Steering Wheel,32302157308,E90,steering,450,GM-32302157308-1.jpg,PILU8022228
GM-32302230186,F30LED STEERING WHEEL,F30Led Steering Wheel,32302230186,F30,steering,2400,GM-32302230186-1.jpg,PILU8022228
GM-E60M4ROOF,سبويلر,Spoiler,E60 m4 roof,,exterior-body,25,GM-E60M4ROOF-1.jpg,PILU8022228
GM-E60M5LIP,سبويلر,Spoiler,E60 m5 lip,,exterior-body,25,GM-E60M5LIP-1.jpg,PILU8022228
GM-E60M4LIP,سبويلر,Spoiler,E60 m4 lip,,exterior-body,25,GM-E60M4LIP-1.jpg,PILU8022228
GM-E36,سبويلر,Spoiler,e36,,exterior-body,90,GM-E36-1.jpg,PILU8022228
GM-E46BIG,سبويلر,Spoiler,e46 big,,exterior-body,85,GM-E46BIG-1.jpg,PILU8022228
GM-E46ROOF,سبويلر,Spoiler,e46 roof,,exterior-body,25,GM-E46ROOF-1.jpg,PILU8022228
GM-E90M4ROOF,سبويلر,Spoiler,e90 m4 roof,,exterior-body,25,GM-E90M4ROOF-1.jpg,PILU8022228
GM-17117547059,رادياتير,Radiator,17117547059,E84,cooling-system,189.444,GM-17117547059-1.jpg,PILU8022228
GM-17113415693,رادياتير,Radiator,17113415693,"X3,E83",cooling-system,208.889,GM-17113415693-1.jpg,PILU8022228
GM-17113400013,رادياتير,Radiator,17113400013,"X3,E83",cooling-system,202.407,GM-17113400013-1.jpg,PILU8022228
GM-17117618807,رادياتير,Radiator,17117618807,F35,cooling-system,197.778,GM-17117618807-1.jpg,PILU8022228
GM-17107509714,رادياتير,Radiator,17107509714,,cooling-system,166.296,GM-17107509714-1.jpg,PILU8022228
GM-17117570821,رادياتير,Radiator,17117570821,,cooling-system,166.296,GM-17117570821-1.jpg,PILU8022228
GM-17118623369,رادياتير,Radiator,17118623369,"X3,F25",cooling-system,182.037,GM-17118623369-1.jpg,PILU8022228
GM-17117534914,رادياتير,Radiator,17117534914,E60,cooling-system,332.037,GM-17117534914-1.jpg,PILU8022228
GM-3210676501332106763807845H033B095,علبة دركسيون,Steering Rack,32106765013 32106763807 845H033B095,"E90,E81,E91,E93",steering,800,GM-3210676501332106763807845H033B095-1.jpg,PILU8022228
GM-32131140956,علبة دركسيون,Steering Rack,32131140956,"E36,E46",steering,480,GM-32131140956-1.jpg,PILU8022228
GM-32131096026,علبة دركسيون,Steering Rack,32131096026,E39,steering,500,GM-32131096026-1.jpg,PILU8022228
GM-7891974273,علبة دركسيون,Steering Rack,7891974273,,steering,580,GM-7891974273-1.jpg,PILU8022228
GM-32106767410,علبة دركسيون,Steering Rack,32106767410,E60,steering,900,GM-32106767410-1.jpg,PILU8022228
GM-642291304581,FRONT AC VENT GRILLE,Front Ac Vent Grille,6422 9130 458-1,"E90,E91,E92,E93",exterior-body,8,GM-642291304581-1.jpg,PILU8022228
GM-64229130458MZ,AC VENT GRILLE （QUICK TO INSTALL）,Ac Vent Grille （Quick To Install）,6422 9130 458-MZ,"E90,E91,E92,E93",exterior-body,25,GM-64229130458MZ-1.jpg,PILU8022228
GM-64119310445M,HEATER CONTROL BUTTON,Heater Control Button,6411 9310 445-M,"E70,E71",misc-accessories,8,GM-64119310445M-1.jpg,PILU8022228
GM-64119344143MA,HEATER CONTROL BUTTONS WITHOUT OFF,Heater Control Buttons Without Off,6411 9344 143-MA,"E90,E84,E87,F25",misc-accessories,8,GM-64119344143MA-1.jpg,PILU8022228
GM-61316932796A1,HEADLIGHT SWITCH BUTTON,Headlight Switch Button,6131 6932 796-A1,"E90,E84",sensors-electrical,15,GM-61316932796A1-1.jpg,PILU8022228
GM-61316932796B1,HEADLIGHT SWITCH BUTTON,Headlight Switch Button,6131 6932 796-B1,"E90,E84",sensors-electrical,22,GM-61316932796B1-1.jpg,PILU8022228
GM-51448036236,ROOF READING LAMP COVER,Roof Reading Lamp Cover,5144 8036 236,E84,interior-trim,28,GM-51448036236-1.jpg,PILU8022228
GM-642234174311,FRONT AC VENT GRILLE,Front Ac Vent Grille,6422 3417 431-1,E83,exterior-body,30,GM-642234174311-1.jpg,PILU8022228
GM-61316945874,مفتاح زجاج,Window Switch,6131 6945 874,"E90,E70,E71",sensors-electrical,20,GM-61316945874-1.jpg,PILU8022228
GM-61316945876,مفتاح زجاج,Window Switch,6131 6945 876,"E90,E70,E71",sensors-electrical,20,GM-61316945876-1.jpg,PILU8022228
GM-61319113773,مفتاح زجاج,Window Switch,6131 9113 773,"E60,E83",sensors-electrical,20,GM-61319113773-1.jpg,PILU8022228
GM-61319113771,مفتاح زجاج,Window Switch,6131 9113 771,"E60,E83",sensors-electrical,20,GM-61319113771-1.jpg,PILU8022228
GM-61319217329,مفتاح زجاج أمامي شمال,Front Left Window Switch,6131 9217 329,E90,sensors-electrical,65,GM-61319217329-1.jpg,PILU8022228
GM-61319217334-6B0F,مفتاح زجاج أمامي شمال,Front Left Window Switch,6131 9217 334,E90,sensors-electrical,65,GM-61319217334-6B0F-1.jpg,PILU8022228
GM-51457138797,CUP HOLDER STRIP TRIM,Cup Holder Strip Trim,5145 7138 797,E90,interior-trim,60,GM-51457138797-1.jpg,PILU8022228
GM-511692189251,DRINKS CUP HOLDER,Drinks Cup Holder,5116 9218 925-1,"F30,F35,F34,F33,F31,F36",interior-trim,45,GM-511692189251-1.jpg,PILU8022228
GM-51417279315T4,INNER DOOR PULL HANDLE SET,Inner Door Pull Handle Set,5141 7279 315-T4,F30,interior-trim,55,,PILU8022228
GM-51417275487T4,HANDLE COVER,Handle Cover,5141 7275 487-T4,F35,interior-trim,90,GM-51417275487T4-1.jpg,PILU8022228
GM-61319122112,مفتاح زجاج,Window Switch,6131 9122 112,E60,sensors-electrical,65,GM-61319122112-1.jpg,PILU8022228
GM-61319122113,مفتاح زجاج,Window Switch,6131 9122 113,E60,sensors-electrical,65,GM-61319122113-1.jpg,PILU8022228
GM-6131921604961319218044,مفتاح زجاج أمامي شمال,Front Left Window Switch,6131 9216 049 = 6131 9218 044,E84,sensors-electrical,65,GM-6131921604961319218044-1.jpg,PILU8022228
GM-61313414354,مفتاح زجاج أمامي شمال,Front Left Window Switch,6131 3414 354,E83,sensors-electrical,65,GM-61313414354-1.jpg,PILU8022228
